Average Reward,Min Reward,Max Reward,Advantage Mean,Advantage Std,Average Entropy Loss,Last Entropy Loss,Average Policy Loss,Last Policy Loss,Average Value Loss,Last Value Loss
-0.87141,-3.72598,0.97715,0.0,1.0,1.42,1.42086,-0.00288,-0.00333,10858.463,10803.79102
-2.52356,-7.94122,0.97605,0.0,1.0,1.4192,1.41804,-0.00281,-0.07188,55951.445,50216.3125
-1.05518,-2.61389,0.93413,0.0,1.0,1.4191,1.41948,-0.00179,0.07339,10792.557,11534.78125
-2.1081,-6.91291,0.99068,-0.0,1.0,1.4225,1.42498,-0.00333,0.01733,51727.93,54013.04688
-2.05804,-8.64305,0.98698,0.0,1.0,1.4272,1.42961,-0.00226,0.10387,51255.465,54725.69141
-1.31611,-5.67875,0.97241,-0.0,1.0,1.4325,1.43489,-0.00458,-0.05507,18630.582,18058.21094
-1.18605,-4.75072,0.97761,0.0,1.0,1.4333,1.43097,-0.00259,-0.04169,13747.588,13346.48242
-2.07398,-9.25387,0.98798,-0.0,1.0,1.4325,1.43342,-0.00406,-0.05834,35936.457,32773.37891
-1.64415,-8.15324,0.97505,-0.0,1.0,1.4327,1.43037,-0.00517,0.05973,34035.168,36666.98047
-2.18047,-5.80057,0.96435,0.0,1.0,1.43,1.42887,-0.00258,-0.07379,44676.68,39665.59375
-0.37108,-2.69263,0.91852,0.0,1.0,1.4304,1.43155,-0.00495,0.21814,1300.5023,1711.37744
-1.43087,-6.97929,0.98373,0.0,1.0,1.4335,1.43538,-0.00434,0.01284,21000.383,21086.25195
-2.98238,-7.81763,0.98703,0.0,1.0,1.439,1.44237,-0.00512,0.06702,69078.99,70600.38281
-3.13798,-9.22941,0.98808,-0.0,1.0,1.4435,1.44461,-0.00755,-0.03055,111014.27,103409.33594
-3.27014,-7.30632,0.9742,0.0,1.0,1.4454,1.4447,-0.00401,0.04305,89509.734,91347.04688
-3.27101,-8.15068,0.98718,0.0,1.0,1.4451,1.44517,-0.00714,-0.13052,88814.234,80434.92188
0.11157,-1.73337,0.98788,-0.0,1.0,1.4473,1.44937,-0.00306,0.10749,1231.1693,1007.04822
-1.15023,-4.56318,0.95825,-0.0,1.0,1.4501,1.45059,-0.003,0.32495,7503.949,10175.3291
-0.91097,-4.51803,0.97595,0.0,1.0,1.4503,1.44868,-0.00862,-0.21665,9036.709,8238.96777
-0.01666,-1.43254,0.97764,-0.0,1.0,1.4483,1.44871,-0.00326,-0.04175,760.8878,728.03278
-1.79694,-5.7075,0.98998,-0.0,1.0,1.4516,1.45388,-0.01588,0.24213,22296.611,27881.89648
-1.65102,-6.0248,0.98123,0.0,1.0,1.4509,1.44742,-0.01706,-0.02149,25518.871,25811.93359
-1.05734,-7.30475,0.98968,-0.0,1.0,1.4503,1.45318,-0.00964,-0.06091,19280.63,17884.25977
-1.49113,-5.70543,0.99028,-0.0,1.0,1.4497,1.44674,-0.01,-0.09401,16526.84,15177.52539
-0.1422,-1.70451,0.98488,-0.0,1.0,1.4475,1.44804,-0.00996,-0.03486,1113.6409,960.44519
